HERBDB_ID,hot,cold,internal,external,yin,yang,excess,deficiency
HERB000036,0,0,0,0,0,0,0,0
HERB000066,1,0,0,0,0,1,0,0
HERB000090,0,0,0,0,0,0,1,0
HERB000137,1,0,1,0,0,1,0,0
HERB000139,1,1,0,0,0,1,1,0
HERB000129,1,0,1,0,0,1,1,0
HERB000709,1,0,1,0,0,1,1,0
HERB000134,1,0,1,0,0,1,0,1
HERB000143,1,1,0,0,1,1,1,0
HERB000161,1,0,1,0,0,1,0,1
HERB000182,1,0,1,0,0,1,1,0
HERB000186,0,0,0,0,0,0,0,0
HERB000197,1,1,0,0,1,1,1,0
HERB000208,1,1,0,0,1,1,1,0
HERB000216,0,1,0,0,1,0,0,0
HERB000237,1,1,0,0,1,1,1,0
HERB000246,1,1,0,0,1,1,1,0
HERB000247,1,1,0,0,0,1,1,0
HERB000242,0,1,0,0,1,0,0,0
HERB000243,0,1,0,0,1,0,0,0
HERB000244,0,1,0,0,1,0,0,0
HERB000245,0,1,0,0,1,0,0,0
HERB000257,1,0,1,0,0,1,1,0
HERB000259,0,1,0,0,1,0,0,0
HERB000267,0,1,1,0,1,0,0,1
HERB000309,1,0,1,0,0,1,0,1
HERB000281,1,1,0,0,1,1,1,0
HERB000285,1,1,0,0,1,1,0,1
HERB000132,1,1,0,0,1,1,1,0
HERB000286,1,1,0,0,1,1,1,0
HERB000293,1,1,0,0,1,1,1,0
HERB000305,1,0,0,1,0,1,0,0
HERB000162,1,0,0,0,0,1,0,0
HERB000192,0,1,1,0,1,0,0,1
HERB000311,0,0,1,0,0,0,0,0
HERB000221,1,1,0,0,1,1,1,0
HERB000325,1,0,0,0,0,1,1,0
HERB000323,1,1,0,0,1,1,1,0
HERB000312,1,1,0,0,0,1,1,0
HERB000330,1,0,1,0,0,1,1,0
HERB000338,1,1,0,0,1,1,1,0
HERB000508,0,1,0,1,1,0,0,0
HERB000373,1,1,0,0,1,1,1,0
HERB000387,0,1,0,0,1,0,1,0
HERB000403,0,1,1,0,1,0,0,1
HERB005762,1,0,1,0,0,1,0,0
HERB000415,1,0,1,0,0,1,0,0
HERB000418,1,0,1,0,0,1,0,0
HERB000483,1,0,1,0,0,1,0,0
HERB000432,0,0,0,1,0,0,0,0
HERB000472,0,1,0,0,1,0,0,0
HERB000453,0,0,1,0,0,0,0,0
HERB000497,1,0,0,0,0,1,1,0
HERB000498,0,1,0,0,1,0,1,0
HERB000553,0,1,0,1,1,0,0,0
HERB000570,1,1,0,0,1,1,1,0
HERB000580,1,0,0,1,0,1,0,0
HERB000584,1,0,1,0,0,1,0,0
HERB000588,1,0,1,0,0,1,0,1
HERB000594,1,0,1,0,0,1,0,0
HERB000604,1,1,0,0,1,1,1,0
HERB000607,1,1,0,0,0,1,1,0
HERB000614,0,1,0,0,1,0,0,0
HERB000638,0,1,0,1,1,0,0,0
HERB000571,0,1,0,1,1,0,0,0
HERB000651,0,1,0,1,1,0,0,0
HERB000706,0,1,0,0,1,0,1,0
HERB000767,0,1,0,0,1,0,0,0
HERB000770,0,1,0,0,1,0,0,0
HERB000777,1,0,1,0,0,1,0,0
HERB000775,1,0,1,0,0,1,0,0
HERB000800,1,1,0,0,1,1,0,0
HERB003416,1,1,0,0,1,1,0,0
HERB000806,0,0,0,0,0,0,0,0
