TCM_symptom_id,Syndrome_id
SMTS00462,SMSY00001
SMTS00520,SMSY00001
SMTS00606,SMSY00001
SMTS00651,SMSY00001
SMTS00680,SMSY00001
SMTS00903,SMSY00001
SMTS00954,SMSY00001
SMTS01153,SMSY00001
SMTS01154,SMSY00001
SMTS01155,SMSY00001
SMTS01237,SMSY00001
SMTS01247,SMSY00001
SMTS01250,SMSY00001
SMTS01251,SMSY00001
SMTS01281,SMSY00001
SMTS01522,SMSY00001
SMTS01533,SMSY00001
SMTS01540,SMSY00001
SMTS01542,SMSY00001
SMTS01548,SMSY00001
SMTS01562,SMSY00001
SMTS01655,SMSY00001
SMTS01766,SMSY00001
SMTS02117,SMSY00001
SMTS02118,SMSY00001
SMTS02229,SMSY00001
SMTS01351,SMSY00002
SMTS00325,SMSY00003
SMTS00328,SMSY00003
SMTS00542,SMSY00003
SMTS00543,SMSY00003
SMTS00892,SMSY00003
SMTS00895,SMSY00003
SMTS00903,SMSY00003
SMTS01140,SMSY00003
SMTS01141,SMSY00003
SMTS01142,SMSY00003
SMTS01159,SMSY00003
SMTS01245,SMSY00003
SMTS01303,SMSY00003
SMTS01308,SMSY00003
SMTS01504,SMSY00003
SMTS01628,SMSY00003
SMTS01704,SMSY00003
SMTS00254,SMSY00004
SMTS00600,SMSY00004
SMTS00953,SMSY00004
SMTS01262,SMSY00004
SMTS01354,SMSY00004
SMTS01434,SMSY00004
SMTS02171,SMSY00004
SMTS02179,SMSY00004
SMTS02180,SMSY00004
SMTS00001,SMSY00005
SMTS00061,SMSY00005
SMTS00163,SMSY00005
SMTS00250,SMSY00005
SMTS00251,SMSY00005
SMTS00283,SMSY00005
SMTS00285,SMSY00005
SMTS00431,SMSY00005
SMTS00432,SMSY00005
SMTS00433,SMSY00005
SMTS00434,SMSY00005
SMTS00759,SMSY00005
SMTS00984,SMSY00005
SMTS00988,SMSY00005
SMTS01157,SMSY00005
SMTS01178,SMSY00005
SMTS01291,SMSY00005
SMTS01292,SMSY00005
SMTS01560,SMSY00005
SMTS01805,SMSY00005
SMTS01853,SMSY00005
SMTS01854,SMSY00005
SMTS01855,SMSY00005
SMTS01856,SMSY00005
SMTS01857,SMSY00005
SMTS01947,SMSY00005
SMTS00218,SMSY00006
SMTS00219,SMSY00006
SMTS00509,SMSY00006
SMTS00569,SMSY00006
SMTS00570,SMSY00006
SMTS00610,SMSY00006
SMTS00675,SMSY00006
SMTS01038,SMSY00006
SMTS02206,SMSY00006
SMTS00075,SMSY00007
SMTS01647,SMSY00007
SMTS00073,SMSY00008
SMTS00076,SMSY00008
SMTS00077,SMSY00008
SMTS00078,SMSY00008
SMTS00080,SMSY00008
SMTS00081,SMSY00008
SMTS00082,SMSY00008
SMTS00083,SMSY00008
SMTS00084,SMSY00008
SMTS00086,SMSY00008
SMTS00087,SMSY00008
SMTS00675,SMSY00008
SMTS01333,SMSY00008
SMTS01334,SMSY00008
SMTS01335,SMSY00008
SMTS01345,SMSY00008
SMTS01702,SMSY00008
SMTS01703,SMSY00008
SMTS01880,SMSY00008
SMTS02104,SMSY00008
SMTS00042,SMSY00009
SMTS00044,SMSY00009
SMTS00045,SMSY00009
SMTS00152,SMSY00009
SMTS00153,SMSY00009
SMTS00154,SMSY00009
SMTS00155,SMSY00009
SMTS00156,SMSY00009
SMTS00157,SMSY00009
SMTS00171,SMSY00009
SMTS00241,SMSY00009
SMTS00242,SMSY00009
SMTS00243,SMSY00009
SMTS00244,SMSY00009
SMTS00245,SMSY00009
SMTS00246,SMSY00009
SMTS00247,SMSY00009
SMTS00248,SMSY00009
SMTS00249,SMSY00009
SMTS00496,SMSY00009
SMTS00497,SMSY00009
SMTS00498,SMSY00009
SMTS00499,SMSY00009
SMTS00500,SMSY00009
SMTS00562,SMSY00009
SMTS00577,SMSY00009
SMTS00579,SMSY00009
SMTS00668,SMSY00009
SMTS00670,SMSY00009
SMTS00732,SMSY00009
SMTS00733,SMSY00009
SMTS00835,SMSY00009
SMTS01189,SMSY00009
SMTS01235,SMSY00009
SMTS01260,SMSY00009
SMTS01264,SMSY00009
SMTS01268,SMSY00009
SMTS01269,SMSY00009
SMTS01270,SMSY00009
SMTS01272,SMSY00009
SMTS01273,SMSY00009
SMTS01274,SMSY00009
SMTS01276,SMSY00009
SMTS01278,SMSY00009
SMTS01279,SMSY00009
SMTS01280,SMSY00009
SMTS01282,SMSY00009
SMTS01283,SMSY00009
SMTS01284,SMSY00009
SMTS01324,SMSY00009
SMTS01325,SMSY00009
SMTS01326,SMSY00009
SMTS01327,SMSY00009
SMTS01328,SMSY00009
SMTS01333,SMSY00009
SMTS01334,SMSY00009
SMTS01335,SMSY00009
SMTS01345,SMSY00009
SMTS01348,SMSY00009
SMTS01390,SMSY00009
SMTS01416,SMSY00009
SMTS01427,SMSY00009
SMTS01428,SMSY00009
SMTS01440,SMSY00009
SMTS01615,SMSY00009
SMTS01634,SMSY00009
SMTS01636,SMSY00009
SMTS01701,SMSY00009
SMTS01837,SMSY00009
SMTS01846,SMSY00009
SMTS01848,SMSY00009
SMTS01850,SMSY00009
SMTS01880,SMSY00009
SMTS01898,SMSY00009
SMTS02104,SMSY00009
SMTS02310,SMSY00009
SMTS00109,SMSY00010
SMTS00110,SMSY00010
SMTS00111,SMSY00010
SMTS00112,SMSY00010
SMTS00113,SMSY00010
SMTS00114,SMSY00010
SMTS00115,SMSY00010
SMTS00116,SMSY00010
SMTS00117,SMSY00010
SMTS00231,SMSY00010
SMTS00335,SMSY00010
SMTS00545,SMSY00010
SMTS00548,SMSY00010
SMTS00609,SMSY00010
SMTS00612,SMSY00010
SMTS00803,SMSY00010
SMTS00804,SMSY00010
SMTS00807,SMSY00010
SMTS00811,SMSY00010
SMTS00812,SMSY00010
SMTS01057,SMSY00010
SMTS01062,SMSY00010
SMTS01066,SMSY00010
SMTS01068,SMSY00010
SMTS01085,SMSY00010
SMTS01089,SMSY00010
