Syndrome_id,Herb_id
SMSY00001,SMHB00174
SMSY00003,SMHB00169
SMSY00003,SMHB00187
SMSY00004,SMHB00336
SMSY00005,SMHB00534
SMSY00005,SMHB00536
SMSY00006,SMHB00131
SMSY00008,SMHB00095
SMSY00008,SMHB00024
SMSY00009,SMHB00041
SMSY00009,SMHB00336
SMSY00009,SMHB00096
SMSY00009,SMHB00299
SMSY00009,SMHB00103
SMSY00009,SMHB00391
SMSY00009,SMHB00392
SMSY00009,SMHB00306
SMSY00009,SMHB00361
SMSY00009,SMHB00512
SMSY00009,SMHB00143
SMSY00009,SMHB00350
SMSY00009,SMHB00377
SMSY00009,SMHB00468
SMSY00009,SMHB00482
SMSY00009,SMHB00169
SMSY00009,SMHB00423
SMSY00009,SMHB00580
SMSY00009,SMHB00185
SMSY00009,SMHB00187
SMSY00009,SMHB00648
SMSY00010,SMHB00193
SMSY00010,SMHB00200
SMSY00010,SMHB00663
SMSY00011,SMHB00277
SMSY00011,SMHB00212
SMSY00011,SMHB00224
SMSY00011,SMHB00625
SMSY00012,SMHB00429
SMSY00013,SMHB00101
SMSY00013,SMHB00428
SMSY00014,SMHB00098
SMSY00014,SMHB00482
SMSY00014,SMHB00542
SMSY00014,SMHB00699
SMSY00014,SMHB00202
SMSY00014,SMHB00131
SMSY00015,SMHB00202
SMSY00016,SMHB00085
SMSY00016,SMHB00551
SMSY00016,SMHB00558
SMSY00017,SMHB00085
SMSY00017,SMHB00551
SMSY00017,SMHB00558
SMSY00018,SMHB00336
SMSY00018,SMHB00007
SMSY00018,SMHB00665
SMSY00018,SMHB00340
SMSY00018,SMHB00002
SMSY00018,SMHB00053
SMSY00018,SMHB00363
SMSY00018,SMHB00131
SMSY00018,SMHB00658
SMSY00019,SMHB00415
SMSY00019,SMHB00389
SMSY00019,SMHB00042
SMSY00020,SMHB00246
SMSY00020,SMHB00519
SMSY00020,SMHB00617
SMSY00020,SMHB00316
SMSY00020,SMHB00418
SMSY00020,SMHB00395
SMSY00020,SMHB00076
SMSY00020,SMHB00151
SMSY00020,SMHB00383
SMSY00020,SMHB00156
SMSY00020,SMHB00113
SMSY00020,SMHB00425
SMSY00020,SMHB00322
SMSY00020,SMHB00174
SMSY00020,SMHB00052
SMSY00020,SMHB00051
SMSY00020,SMHB00055
SMSY00020,SMHB00054
SMSY00020,SMHB00618
SMSY00020,SMHB00043
SMSY00020,SMHB00138
SMSY00020,SMHB00112
SMSY00020,SMHB00131
SMSY00020,SMHB00433
SMSY00020,SMHB00434
SMSY00021,SMHB00054
SMSY00021,SMHB00618
SMSY00022,SMHB00043
SMSY00023,SMHB00151
SMSY00024,SMHB00415
SMSY00024,SMHB00389
SMSY00024,SMHB00043
SMSY00024,SMHB00042
SMSY00024,SMHB00233
SMSY00026,SMHB00004
SMSY00026,SMHB00043
SMSY00026,SMHB00055
SMSY00026,SMHB00076
SMSY00026,SMHB00174
SMSY00026,SMHB00219
SMSY00026,SMHB00239
SMSY00026,SMHB00418
SMSY00026,SMHB00437
SMSY00027,SMHB00035
SMSY00027,SMHB00180
SMSY00027,SMHB00201
SMSY00027,SMHB00273
SMSY00027,SMHB00367
SMSY00027,SMHB00625
SMSY00028,SMHB00534
SMSY00028,SMHB00536
SMSY00029,SMHB00136
SMSY00030,SMHB00398
SMSY00031,SMHB00113
SMSY00032,SMHB00186
SMSY00033,SMHB00244
SMSY00033,SMHB00581
SMSY00034,SMHB00604
SMSY00035,SMHB00569
SMSY00036,SMHB00593
SMSY00037,SMHB00131
SMSY00038,SMHB00061
SMSY00038,SMHB00062
SMSY00038,SMHB00188
SMSY00038,SMHB00288
SMSY00038,SMHB00459
SMSY00038,SMHB00151
SMSY00038,SMHB00434
SMSY00038,SMHB00435
SMSY00038,SMHB00161
SMSY00038,SMHB00009
SMSY00038,SMHB00309
SMSY00038,SMHB00509
SMSY00038,SMHB00046
SMSY00038,SMHB00650
SMSY00038,SMHB00675
SMSY00038,SMHB00676
SMSY00039,SMHB00309
SMSY00039,SMHB00151
SMSY00040,SMHB00337
SMSY00040,SMHB00109
SMSY00040,SMHB00262
SMSY00040,SMHB00161
SMSY00040,SMHB00329
SMSY00041,SMHB00329
SMSY00043,SMHB00167
SMSY00044,SMHB00344
SMSY00044,SMHB00245
SMSY00044,SMHB00093
SMSY00044,SMHB00414
SMSY00044,SMHB00415
SMSY00044,SMHB00501
SMSY00044,SMHB00502
SMSY00044,SMHB00341
SMSY00044,SMHB00128
SMSY00044,SMHB00096
SMSY00044,SMHB00004
SMSY00044,SMHB00148
SMSY00044,SMHB00109
SMSY00044,SMHB00140
SMSY00044,SMHB00035
SMSY00044,SMHB00171
SMSY00044,SMHB00622
SMSY00044,SMHB00418
SMSY00044,SMHB00506
SMSY00044,SMHB00084
SMSY00044,SMHB00397
SMSY00044,SMHB00553
SMSY00044,SMHB00387
SMSY00044,SMHB00447
SMSY00044,SMHB00437
SMSY00044,SMHB00358
SMSY00044,SMHB00515
SMSY00044,SMHB00360
SMSY00044,SMHB00359
SMSY00044,SMHB00518
SMSY00044,SMHB00072
SMSY00044,SMHB00136
SMSY00044,SMHB00451
SMSY00044,SMHB00095
SMSY00044,SMHB00442
SMSY00044,SMHB00650
SMSY00044,SMHB00417
SMSY00044,SMHB00474
SMSY00044,SMHB00289
SMSY00044,SMHB00292
SMSY00044,SMHB00485
SMSY00044,SMHB00486
SMSY00044,SMHB00155
SMSY00044,SMHB00279
SMSY00044,SMHB00688
SMSY00044,SMHB00221
SMSY00044,SMHB00389
SMSY00044,SMHB00380
SMSY00044,SMHB00277
SMSY00044,SMHB00480
SMSY00044,SMHB00452
SMSY00044,SMHB00642
SMSY00044,SMHB00537
SMSY00044,SMHB00646
SMSY00044,SMHB00504
SMSY00044,SMHB00286
SMSY00044,SMHB00278
SMSY00044,SMHB00092
SMSY00044,SMHB00408
SMSY00044,SMHB00133
SMSY00044,SMHB00020
SMSY00044,SMHB00022
SMSY00044,SMHB00021
SMSY00044,SMHB00456
SMSY00044,SMHB00355
SMSY00044,SMHB00666
SMSY00044,SMHB00577
SMSY00044,SMHB00463
SMSY00044,SMHB00340
SMSY00044,SMHB00339
SMSY00044,SMHB00178
SMSY00044,SMHB00052
SMSY00044,SMHB00229
SMSY00044,SMHB00602
SMSY00044,SMHB00129
SMSY00044,SMHB00054
SMSY00044,SMHB00618
SMSY00044,SMHB00239
SMSY00044,SMHB00043
SMSY00044,SMHB00042
SMSY00044,SMHB00234
SMSY00044,SMHB00218
SMSY00044,SMHB00649
SMSY00044,SMHB00440
SMSY00044,SMHB00669
SMSY00044,SMHB00684
SMSY00044,SMHB00691
SMSY00044,SMHB00595
SMSY00044,SMHB00582
SMSY00044,SMHB00470
SMSY00044,SMHB00203
SMSY00044,SMHB00609
SMSY00044,SMHB00625
SMSY00044,SMHB00122
SMSY00044,SMHB00131
SMSY00044,SMHB00064
SMSY00044,SMHB00330
SMSY00044,SMHB00471
SMSY00044,SMHB00433
SMSY00044,SMHB00436
SMSY00044,SMHB00434
SMSY00044,SMHB00432
SMSY00044,SMHB00137
SMSY00044,SMHB00191
SMSY00044,SMHB00272
SMSY00044,SMHB00645
SMSY00044,SMHB00184
SMSY00044,SMHB00187
SMSY00044,SMHB00165
SMSY00045,SMHB00152
SMSY00046,SMHB00414
SMSY00046,SMHB00336
SMSY00046,SMHB00337
SMSY00046,SMHB00096
SMSY00046,SMHB00148
SMSY00046,SMHB00109
SMSY00046,SMHB00604
SMSY00046,SMHB00035
SMSY00046,SMHB00084
SMSY00046,SMHB00553
SMSY00046,SMHB00515
SMSY00046,SMHB00359
SMSY00046,SMHB00451
SMSY00046,SMHB00095
SMSY00046,SMHB00292
SMSY00046,SMHB00486
SMSY00046,SMHB00155
SMSY00046,SMHB00480
SMSY00046,SMHB00685
SMSY00046,SMHB00537
SMSY00046,SMHB00576
SMSY00046,SMHB00646
SMSY00046,SMHB00504
SMSY00046,SMHB00632
SMSY00046,SMHB00133
SMSY00046,SMHB00022
SMSY00046,SMHB00021
SMSY00046,SMHB00456
SMSY00046,SMHB00355
SMSY00046,SMHB00579
SMSY00046,SMHB00169
SMSY00046,SMHB00340
SMSY00046,SMHB00052
SMSY00046,SMHB00129
SMSY00046,SMHB00239
SMSY00046,SMHB00595
SMSY00046,SMHB00423
SMSY00046,SMHB00582
SMSY00046,SMHB00122
SMSY00046,SMHB00064
SMSY00046,SMHB00433
SMSY00046,SMHB00432
SMSY00046,SMHB00184
SMSY00046,SMHB00185
SMSY00046,SMHB00187
SMSY00046,SMHB00593
SMSY00047,SMHB00096
SMSY00047,SMHB00678
SMSY00047,SMHB00544
SMSY00048,SMHB00336
SMSY00049,SMHB00685
SMSY00050,SMHB00310
